zcta,stab,border_dyad,segment_id,S_i,dist_km,d_ic
25165,WV,MD-WV,MD-WV_173,0,221.09394343078637,-221.09394343078637
25169,WV,MD-WV,MD-WV_173,0,230.4021916691883,-230.4021916691883
25173,WV,MD-WV,MD-WV_173,0,195.8713359578979,-195.8713359578979
25260,WV,MD-WV,MD-WV_173,0,218.43518737329245,-218.43518737329245
25262,WV,MD-WV,MD-WV_173,0,203.83438291478208,-203.83438291478208
25180,WV,MD-WV,MD-WV_173,0,231.23306888531303,-231.23306888531303
25202,WV,MD-WV,MD-WV_173,0,226.8497068826618,-226.8497068826618
24873,WV,MD-WV,MD-WV_173,0,292.75036859187094,-292.75036859187094
24830,WV,MD-WV,MD-WV_173,0,276.0911943292194,-276.0911943292194
24831,WV,MD-WV,MD-WV_173,0,264.7583268116313,-264.7583268116313
24834,WV,MD-WV,MD-WV_173,0,264.8003213719857,-264.8003213719857
24843,WV,MD-WV,MD-WV_173,0,272.5191325234683,-272.5191325234683
25028,WV,MD-WV,MD-WV_173,0,238.62311491606397,-238.62311491606397
25241,WV,MD-WV,MD-WV_173,0,204.69566336846145,-204.69566336846145
25265,WV,MD-WV,MD-WV_173,0,214.5646011041693,-214.5646011041693
25174,WV,MD-WV,MD-WV_173,0,224.50118950507843,-224.50118950507843
24846,WV,MD-WV,MD-WV_173,0,280.6407946283726,-280.6407946283726
24847,WV,MD-WV,MD-WV_173,0,247.5652845066664,-247.5652845066664
24848,WV,MD-WV,MD-WV_173,0,273.8183785746912,-273.8183785746912
24853,WV,MD-WV,MD-WV_173,0,265.63079353898104,-265.63079353898104
24860,WV,MD-WV,MD-WV_173,0,251.28575463652325,-251.28575463652325
25033,WV,MD-WV,MD-WV_173,0,219.81977850951367,-219.81977850951367
25177,WV,MD-WV,MD-WV_173,0,223.93951296542627,-223.93951296542627
25181,WV,MD-WV,MD-WV_173,0,226.0597941136741,-226.0597941136741
25183,WV,MD-WV,MD-WV_173,0,246.90249120741507,-246.90249120741507
25422,WV,MD-WV,MD-WV_507,0,4.231087501248262,-4.231087501248262
25425,WV,MD-WV,MD-WV_748,0,7.159592140202207,-7.159592140202207
24862,WV,MD-WV,MD-WV_173,0,287.9032027751035,-287.9032027751035
24867,WV,MD-WV,MD-WV_173,0,247.2488100933293,-247.2488100933293
24874,WV,MD-WV,MD-WV_173,0,252.13371280876663,-252.13371280876663
24880,WV,MD-WV,MD-WV_173,0,248.61758466634072,-248.61758466634072
25035,WV,MD-WV,MD-WV_173,0,210.873600207932,-210.873600207932
25039,WV,MD-WV,MD-WV_173,0,194.26091820293504,-194.26091820293504
25043,WV,MD-WV,MD-WV_173,0,155.1175124644819,-155.1175124644819
25186,WV,MD-WV,MD-WV_173,0,194.44073780871204,-194.44073780871204
25442,WV,MD-WV,MD-WV_745,0,6.778686162081419,-6.778686162081419
25444,WV,MD-WV,MD-WV_473,0,9.426478741693034,-9.426478741693034
25502,WV,MD-WV,MD-WV_173,0,233.2938306184875,-233.2938306184875
25506,WV,MD-WV,MD-WV_173,0,258.0499194444467,-258.0499194444467
25501,WV,MD-WV,MD-WV_173,0,242.893464395934,-242.893464395934
24881,WV,MD-WV,MD-WV_173,0,274.4201234959156,-274.4201234959156
24882,WV,MD-WV,MD-WV_173,0,264.8540433048149,-264.8540433048149
24887,WV,MD-WV,MD-WV_173,0,262.7825614136414,-262.7825614136414
24898,WV,MD-WV,MD-WV_173,0,256.0074176192504,-256.0074176192504
24901,WV,MD-WV,MD-WV_173,0,174.04619913223593,-174.04619913223593
25044,WV,MD-WV,MD-WV_173,0,214.76006529437967,-214.76006529437967
25047,WV,MD-WV,MD-WV_173,0,243.3337345106899,-243.3337345106899
25193,WV,MD-WV,MD-WV_173,0,222.39788355331757,-222.39788355331757
25201,WV,MD-WV,MD-WV_173,0,197.07613958074575,-197.07613958074575
25203,WV,MD-WV,MD-WV_173,0,245.55123100743157,-245.55123100743157
25411,WV,MD-WV,MD-WV_539,0,8.18457015959533,-8.18457015959533
25413,WV,MD-WV,MD-WV_748,0,25.087598746529167,-25.087598746529167
25051,WV,MD-WV,MD-WV_173,0,224.588411279007,-224.588411279007
25057,WV,MD-WV,MD-WV_173,0,194.75938164547347,-194.75938164547347
25059,WV,MD-WV,MD-WV_173,0,183.11474064133213,-183.11474064133213
25060,WV,MD-WV,MD-WV_173,0,220.3096971909701,-220.3096971909701
25061,WV,MD-WV,MD-WV_173,0,203.66371892735827,-203.66371892735827
25208,WV,MD-WV,MD-WV_173,0,240.62647781631892,-240.62647781631892
25209,WV,MD-WV,MD-WV_173,0,224.6202846457056,-224.6202846457056
25211,WV,MD-WV,MD-WV_173,0,145.97728862462628,-145.97728862462628
25213,WV,MD-WV,MD-WV_173,0,223.16075878218845,-223.16075878218845
25414,WV,MD-WV,MD-WV_748,0,13.353341032814154,-13.353341032814154
25419,WV,MD-WV,MD-WV_600,0,1.6485060251760653,-1.6485060251760653
