stabbr,year,weighted_in_state,weighted_out_of_state,inst_count,total_in_state_enr,total_out_state_enr
TX,2019,6114.816967397197,15876.460437710437,106,103304,7128
UT,2019,5388.9446062294255,20276.31519575315,8,15796,4521
VA,2019,9528.680574122282,28805.665080983123,39,28426,8829
VI,2019,4631,13892,1,262,18
VT,2019,12814.563611491109,37996.47655259822,5,1462,2367
WA,2019,7519.509132982128,28071.952297208176,43,20311,4549
WI,2019,6904.724073580379,22851.874983357742,35,22506,7511
WV,2019,6422.30462184874,21856.6619454837,23,9520,3742
WY,2019,2714.170412963931,10148.028653295129,8,1913,1396
AK,2020,6826.7414578587695,24505.753086419754,4,1756,162
AL,2020,6835.31919268067,25639.2031769883,38,29183,9317
AR,2020,5390.519577161138,18965.056645414417,34,14379,4078
AS,2020,3300,NA,1,253,0
AZ,2020,9247.913058399588,26290.202396373057,29,17483,9264
CA,2020,4326.758772393765,24032.619967793882,147,207982,22356
CO,2020,7553.7230699569845,27896.089370265152,29,22085,8448
CT,2020,7643.0870893242945,32470.645750142612,22,13423,1753
DC,2020,5160,11844,1,233,131
DE,2020,8399.00932122371,30817.477079796266,3,4184,3534
FL,2020,3118.037466317703,15517.19737040955,46,77563,6617
FM,2020,4050,NA,1,607,0
GA,2020,4770.540316760986,21616.665009208104,51,52658,5430
GU,2020,5040,7854.545454545455,2,472,11
