ZCTA,year,Real_GDP_per_capita_ZCTA,Unemployment_Rate_ZCTA
01075,2021,46128.976367458454,4.8
01075,2022,46779.119331064045,3.5
01075,2023,47624.548845406374,3.2
01075,2024,48590.28168247692,3.8
01075,2025,48590.28168247692,3.8
01075,2026,48590.28168247692,3.8
01077,2012,46638.46311887651,8.6
01077,2013,46887.48964091348,8.6
01077,2014,46737.251931783365,7.6
01077,2015,47850.054913245585,6.4
01077,2016,48025.631339808395,5.5
01077,2017,47305.61860127468,5.3
01077,2018,47556.85527805556,4.9
01077,2019,48816.52362813696,4.3
01077,2020,48444.87119215723,10.9
01077,2021,50514.030347570464,6.8
01077,2022,50165.95657073509,4.8
01077,2023,50458.69975418066,4.5
01077,2024,51050.884302737686,5.1
01077,2025,51050.884302737686,5.1
01077,2026,51050.884302737686,5.1
01079,2012,46638.46311887651,8.6
01079,2013,46887.48964091348,8.6
01079,2014,46737.251931783365,7.6
01079,2015,47850.054913245585,6.4
01079,2016,48025.631339808395,5.5
01079,2017,47305.61860127468,5.3
01079,2018,47556.85527805556,4.9
01079,2019,48816.52362813696,4.3
01079,2020,48444.87119215723,10.9
01079,2021,50514.030347570464,6.8
01079,2022,50165.95657073509,4.8
01079,2023,50458.69975418066,4.5
01079,2024,51050.884302737686,5.1
01079,2025,51050.884302737686,5.1
01079,2026,51050.884302737686,5.1
01080,2012,46638.46311887651,8.6
01080,2013,46887.48964091348,8.6
01080,2014,46737.251931783365,7.6
01080,2015,47850.054913245585,6.4
01080,2016,48025.631339808395,5.5
01080,2017,47305.61860127468,5.3
01080,2018,47556.85527805556,4.9
01080,2019,48816.52362813696,4.3
01080,2020,48444.87119215723,10.9
01080,2021,50514.030347570464,6.8
01080,2022,50165.95657073509,4.8
01080,2023,50458.69975418066,4.5
01080,2024,51050.884302737686,5.1
01080,2025,51050.884302737686,5.1
01080,2026,51050.884302737686,5.1
01081,2012,46638.46311887651,8.6
01081,2013,46887.48964091348,8.6
01081,2014,46737.251931783365,7.6
